,Movie,Year of release,Genre,Directed by,Starring,Synopsis,Duration in minutes,IMDB User Rating,Metascore from Metacritic
76,Equilibrium,2002,"['Action, Drama, Sci-Fi']",Kurt Wimmer ,"Christian Bale, Sean Bean, Emily Watson, Taye Diggs","['In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.']",107,7.4,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""e5c1d615-a525-412f-b34f-7acc4a804431"")>"
77,Sherlock Holmes: A Game of Shadows,2011,"['Action, Adventure, Mystery']",Guy Ritchie ,"Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams","['Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.']",129,7.5,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""225e28ab-2778-444d-b631-2f959976dead"")>"
78,The Boondock Saints,1999,"['Action, Crime, Thriller']",Troy Duffy ,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco","[""Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.""]",108,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""c84eb5e5-3192-41b4-ad9f-f5fbb1f85afd"")>"
79,John Wick: Chapter 2,2017,"['Action, Crime, Thriller']",Chad Stahelski ,"Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose","['After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.']",122,7.5,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""fa129ecf-e8f1-4d74-9ab9-23825f20082b"")>"
80,John Wick,2014,"['Action, Crime, Thriller']","Chad Stahelski, David Leitch ","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",['An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.'],101,7.4,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""9a3114a3-4885-4811-8255-c3c4a17f0322"")>"
81,The Fifth Element,1997,"['Action, Adventure, Sci-Fi']",Luc Besson ,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm","['In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.']",126,7.7,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""be88d93c-b116-4053-83dd-67f76f74c6e8"")>"
82,Kingsman: The Secret Service,2014,"['Action, Adventure, Comedy']",Matthew Vaughn ,"Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine","[""A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.""]",129,7.7,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""038e4962-3fc8-472d-ae9d-0844bdcefb29"")>"
83,Black Panther,2018,"['Action, Adventure, Sci-Fi']",Ryan Coogler ,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","[""T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.""]",134,7.3,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""f3d63917-66eb-44b0-a27d-c5bea6846933"")>"
84,Fast & Furious,2009,"['Action, Thriller']",Justin Lin ,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster","[""Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.""]",107,6.6,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""36400450-8966-4e60-9ca6-534e0732510c"")>"
85,Bad Boys,1995,"['Action, Comedy, Crime']",Michael Bay ,"Will Smith, Martin Lawrence, Lisa Boyle, Michael Taliferro",['Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.'],119,6.9,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""412a6d3f-e416-4b28-9247-c4806e5a4704"")>"
